seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
68,Vitoria-Gasteiz,N-BEATS v2,0.015570745712131531,0.021030218691309627,5.363545183341269,3.4
68,Vitoria-Gasteiz,LSTM v2,0.02312737802167686,0.029231449851433982,7.932800265963932,10.7
68,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
68,Vitoria-Gasteiz,Random Forest,0.01557338950212167,0.021853464599510444,5.463367887025555,0.4
68,Donostia/San Sebastian,N-BEATS v2,0.01431645867085987,0.019751337876809272,3.6765711480539567,4.0
68,Donostia/San Sebastian,LSTM v2,0.021605500714706575,0.02937546576849213,5.392940630565749,5.6
68,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
68,Donostia/San Sebastian,Random Forest,0.012993288430474561,0.019260705648843624,3.305635718476135,0.4
68,Pamplona/Iruna,N-BEATS v2,0.017071923436043347,0.022978855944784878,4.829985905479394,3.2
68,Pamplona/Iruna,LSTM v2,0.020336774647078875,0.026170932858395866,5.7342101856450745,7.2
68,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
68,Pamplona/Iruna,Random Forest,0.016177211554280323,0.02251250475550773,4.583648508581935,0.3
