seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
35,Vitoria-Gasteiz,N-BEATS v2,0.016399918338960033,0.021640999692968895,5.702391201619983,2.6
35,Vitoria-Gasteiz,LSTM v2,0.024232425157202475,0.030577050050979375,8.249315113744355,8.6
35,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
35,Vitoria-Gasteiz,Random Forest,0.015498985320517121,0.02160206296153402,5.439518222651798,0.4
35,Donostia/San Sebastian,N-BEATS v2,0.014065771108036475,0.018919790324642204,3.6320670508874913,3.5
35,Donostia/San Sebastian,LSTM v2,0.021148652269232293,0.02830418970920149,5.438212201722789,11.4
35,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
35,Donostia/San Sebastian,Random Forest,0.012945378965776487,0.019130511586940607,3.2925851012699687,0.4
35,Pamplona/Iruna,N-BEATS v2,0.01740375822503515,0.023508944086340564,4.910762460387938,3.7
35,Pamplona/Iruna,LSTM v2,0.020497315681470403,0.02677932658735562,5.739457117474133,8.2
35,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
35,Pamplona/Iruna,Random Forest,0.016374192348092922,0.02271067911495289,4.642988798368403,0.3
