seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
47,Vitoria-Gasteiz,N-BEATS v2,0.014480782578026647,0.019657594412023496,4.992483009147778,3.5
47,Vitoria-Gasteiz,LSTM v2,0.024154479793633225,0.030389985602718817,8.308351766744279,10.9
47,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
47,Vitoria-Gasteiz,Random Forest,0.015483104255729296,0.021676260743092843,5.426872434637526,0.3
47,Donostia/San Sebastian,N-BEATS v2,0.014103039598276332,0.019217360701908104,3.609679016815474,4.0
47,Donostia/San Sebastian,LSTM v2,0.0201667904541401,0.02710701132486285,5.092322511205432,8.9
47,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
47,Donostia/San Sebastian,Random Forest,0.012897587183133899,0.019004372994889267,3.2826410014032614,0.4
47,Pamplona/Iruna,N-BEATS v2,0.01744378493066287,0.023466429737763153,4.922846874690041,2.7
47,Pamplona/Iruna,LSTM v2,0.02109850994723356,0.026954578949997202,5.948848003259469,6.1
47,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
47,Pamplona/Iruna,Random Forest,0.016587073449767984,0.02283157652477558,4.703672580486289,0.3
