seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
41,Vitoria-Gasteiz,N-BEATS v2,0.014854720304223235,0.020161683047466763,5.139147326797824,4.9
41,Vitoria-Gasteiz,LSTM v2,0.02309332195156909,0.02906918815590339,7.880107532806983,10.1
41,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
41,Vitoria-Gasteiz,Random Forest,0.015470641162675715,0.02154827000785693,5.429814006255874,0.4
41,Donostia/San Sebastian,N-BEATS v2,0.014052263557247662,0.019341773626336392,3.597292647114735,5.3
41,Donostia/San Sebastian,LSTM v2,0.019774869255869805,0.026036296274635343,5.075346535852714,8.4
41,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
41,Donostia/San Sebastian,Random Forest,0.012939754472889394,0.019102576827768666,3.2905624260108617,0.4
41,Pamplona/Iruna,N-BEATS v2,0.018011702663646684,0.02404356171315043,5.069501777201424,3.9
41,Pamplona/Iruna,LSTM v2,0.021039530911971728,0.02714671017302398,5.871957499310754,8.9
41,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
41,Pamplona/Iruna,Random Forest,0.016516614737824602,0.0228643144520453,4.678183591001845,0.3
