seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
60,Vitoria-Gasteiz,N-BEATS v2,0.014583926794701494,0.020046641691763303,5.038680844640201,3.7
60,Vitoria-Gasteiz,LSTM v2,0.022885616048619307,0.029099687029202,7.926256291170938,11.8
60,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
60,Vitoria-Gasteiz,Random Forest,0.015461729428959955,0.021620101847040517,5.421264836049603,0.3
60,Donostia/San Sebastian,N-BEATS v2,0.014625476911996414,0.01991192435169221,3.7583170338223817,4.4
60,Donostia/San Sebastian,LSTM v2,0.020951407241575105,0.028344146709899883,5.28570451161363,11.1
60,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
60,Donostia/San Sebastian,Random Forest,0.012814979778895941,0.019039081057220606,3.2636179872125757,0.4
60,Pamplona/Iruna,N-BEATS v2,0.017819999067387893,0.023783055797280815,5.026679215512483,3.0
60,Pamplona/Iruna,LSTM v2,0.0206369281193914,0.026377212816653065,5.8511189546715645,5.1
60,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
60,Pamplona/Iruna,Random Forest,0.016646802737442214,0.023086627261755296,4.714132364703475,0.3
