seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
31,Vitoria-Gasteiz,N-BEATS v2,0.015097896187484718,0.020619358894643638,5.228755254483277,3.8
31,Vitoria-Gasteiz,LSTM v2,0.02457399690454356,0.03137984237006537,8.286887616122698,7.4
31,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
31,Vitoria-Gasteiz,Random Forest,0.015320926026849781,0.021406257087256485,5.3887746379796955,0.4
31,Donostia/San Sebastian,N-BEATS v2,0.014203710260272203,0.01933416564088424,3.6454536214764293,5.1
31,Donostia/San Sebastian,LSTM v2,0.021280378848162026,0.028818761777817146,5.3344557826812125,9.7
31,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
31,Donostia/San Sebastian,Random Forest,0.012987882145061143,0.019062905830748454,3.3090946791778277,0.3
31,Pamplona/Iruna,N-BEATS v2,0.016307798474638098,0.022393850910026224,4.584741992350856,4.2
31,Pamplona/Iruna,LSTM v2,0.02021166003175116,0.026049236373706326,5.695197516129698,6.1
31,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
31,Pamplona/Iruna,Random Forest,0.01652564069540069,0.022778668726813955,4.681645838851782,0.3
