seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
2,Vitoria-Gasteiz,N-BEATS v2,0.015577290836215084,0.02117491391857717,5.395772836633944,6.2
2,Vitoria-Gasteiz,LSTM v2,0.024751463260324614,0.031956682397693614,8.245349865941062,15.3
2,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
2,Vitoria-Gasteiz,Random Forest,0.015413808867646726,0.021513951680827623,5.407611664993901,0.5
2,Donostia/San Sebastian,N-BEATS v2,0.014691831627702465,0.019429854382661274,3.8300701656022547,5.8
2,Donostia/San Sebastian,LSTM v2,0.021694584810248208,0.02941478349128141,5.448074424808444,9.9
2,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
2,Donostia/San Sebastian,Random Forest,0.01291305053119444,0.019087274171280987,3.285222663012473,0.5
2,Pamplona/Iruna,N-BEATS v2,0.01730180518143526,0.023302329729394097,4.870109488822691,4.6
2,Pamplona/Iruna,LSTM v2,0.021220502193390493,0.027231378350443362,5.96454257347407,9.1
2,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
2,Pamplona/Iruna,Random Forest,0.01618918003774536,0.022551398607661716,4.588198913633613,0.5
