seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
38,Vitoria-Gasteiz,N-BEATS v2,0.015351722487353293,0.020948184228673943,5.346125137030093,3.5
38,Vitoria-Gasteiz,LSTM v2,0.025562577233881518,0.0325378171741685,8.472932908850037,7.9
38,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
38,Vitoria-Gasteiz,Random Forest,0.015550085138939072,0.021603197548512924,5.446571746888881,0.4
38,Donostia/San Sebastian,N-BEATS v2,0.014822888880531704,0.01994571545861883,3.8073896009397257,4.7
38,Donostia/San Sebastian,LSTM v2,0.02038347932562246,0.02718670899559854,5.185965449152037,11.7
38,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
38,Donostia/San Sebastian,Random Forest,0.012828336003045586,0.01897946200647077,3.265919780725326,0.3
38,Pamplona/Iruna,N-BEATS v2,0.01813214555889299,0.02434859956651198,5.093733792469352,5.2
38,Pamplona/Iruna,LSTM v2,0.02128690910993973,0.027822815127330973,5.9175908779767665,7.8
38,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
38,Pamplona/Iruna,Random Forest,0.016238875792977593,0.02241701848917761,4.60283187336942,0.4
