seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
94,Vitoria-Gasteiz,N-BEATS v2,0.015635439327492097,0.021068691251062813,5.4587681309821265,3.2
94,Vitoria-Gasteiz,LSTM v2,0.02408567278579606,0.030460426752547287,8.299491329552035,7.3
94,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
94,Vitoria-Gasteiz,Random Forest,0.015527208707263247,0.02153154308282204,5.44213557037291,0.3
94,Donostia/San Sebastian,N-BEATS v2,0.014174874153646086,0.019014974829326042,3.650510327999944,3.6
94,Donostia/San Sebastian,LSTM v2,0.020174674532176168,0.026854469339443993,5.14825074184657,7.4
94,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
94,Donostia/San Sebastian,Random Forest,0.012736014452221847,0.01889561476121416,3.239888389526601,0.3
94,Pamplona/Iruna,N-BEATS v2,0.017690182652433915,0.0236395673576086,4.961277214764698,2.6
94,Pamplona/Iruna,LSTM v2,0.02165066944855834,0.027744018889719772,6.075157356949143,8.5
94,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
94,Pamplona/Iruna,Random Forest,0.01648719919454993,0.022856775646075158,4.676867235460888,0.3
