seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
0,Vitoria-Gasteiz,N-BEATS v2,0.0142898887528132,0.0196285732027226,4.9060767834565935,5.9
0,Vitoria-Gasteiz,LSTM v2,0.0236576247401203,0.0300517257296737,8.123732591608828,10.4
0,Vitoria-Gasteiz,Ridge,0.0187375355019937,0.0251875231014251,6.4263562139398696,0.0
0,Vitoria-Gasteiz,Random Forest,0.0153931318535096,0.0214687377674447,5.406558969496142,0.4
0,Donostia/San Sebastian,N-BEATS v2,0.0138347359272745,0.0187876451409227,3.549445887745136,6.8
0,Donostia/San Sebastian,LSTM v2,0.0204136742565462,0.0276292456156527,5.140260692496489,9.0
0,Donostia/San Sebastian,Ridge,0.0145280221920111,0.0200209829316308,3.729262764219568,0.0
0,Donostia/San Sebastian,Random Forest,0.0128297211942571,0.0190354852669104,3.26525806225453,0.4
0,Pamplona/Iruna,N-BEATS v2,0.01674226455901,0.0227130654708089,4.69712045018018,5.7
0,Pamplona/Iruna,LSTM v2,0.0202061129951736,0.0255939568267604,5.792427310009836,7.5
0,Pamplona/Iruna,Ridge,0.0167016341489012,0.022149377502209,4.713310160353887,0.0
0,Pamplona/Iruna,Random Forest,0.0163233328626689,0.0225970575752232,4.627278373069907,0.4
1,Vitoria-Gasteiz,N-BEATS v2,0.0157369566838808,0.0212800539064928,5.468354753624852,5.4
1,Vitoria-Gasteiz,LSTM v2,0.0244047289701207,0.0306029814546641,8.29583253641131,11.6
1,Vitoria-Gasteiz,Ridge,0.0187375355019937,0.0251875231014251,6.4263562139398696,0.0
1,Vitoria-Gasteiz,Random Forest,0.0156166827616634,0.0216205915027951,5.480782511920824,0.5
1,Donostia/San Sebastian,N-BEATS v2,0.0141126515810216,0.0191250688727285,3.627608010045921,8.5
1,Donostia/San Sebastian,LSTM v2,0.0217526216835091,0.0296646862533318,5.399505503539033,9.2
1,Donostia/San Sebastian,Ridge,0.0145280221920111,0.0200209829316308,3.729262764219568,0.0
1,Donostia/San Sebastian,Random Forest,0.0128641254601668,0.0190228110077315,3.275632484690357,0.5
1,Pamplona/Iruna,N-BEATS v2,0.0185443029201505,0.0244149431941764,5.248473085657417,5.3
1,Pamplona/Iruna,LSTM v2,0.0210897318444303,0.0265348332165612,5.95055919454358,9.7
1,Pamplona/Iruna,Ridge,0.0167016341489012,0.022149377502209,4.713310160353887,0.0
1,Pamplona/Iruna,Random Forest,0.0163795661562094,0.0226997056130032,4.640767135729691,0.5
2,Vitoria-Gasteiz,N-BEATS v2,0.015577290836215,0.0211749139185771,5.395772836633944,6.2
2,Vitoria-Gasteiz,LSTM v2,0.0247514632603246,0.0319566823976936,8.245349865941062,15.3
2,Vitoria-Gasteiz,Ridge,0.0187375355019937,0.0251875231014251,6.4263562139398696,0.0
2,Vitoria-Gasteiz,Random Forest,0.0154138088676467,0.0215139516808276,5.407611664993901,0.5
