seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
44,Vitoria-Gasteiz,N-BEATS v2,0.01542778094019064,0.020971881220320388,5.368551055058368,4.0
44,Vitoria-Gasteiz,LSTM v2,0.026431395853008206,0.03353009434552694,8.857199120974284,6.8
44,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
44,Vitoria-Gasteiz,Random Forest,0.01541293075148621,0.021575305925444523,5.401443055407937,0.4
44,Donostia/San Sebastian,N-BEATS v2,0.014340791239937036,0.019335321256482327,3.677736962770962,5.6
44,Donostia/San Sebastian,LSTM v2,0.020003504942689716,0.026367710429627635,5.1567313770120755,11.9
44,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
44,Donostia/San Sebastian,Random Forest,0.01291586852929821,0.01915912360197494,3.2874632764263403,0.3
44,Pamplona/Iruna,N-BEATS v2,0.017739868807279856,0.023770147264499164,5.002489723502925,2.2
44,Pamplona/Iruna,LSTM v2,0.021100232988924425,0.028252617912577344,5.867742349672534,11.5
44,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
44,Pamplona/Iruna,Random Forest,0.01649834285094355,0.02276661439101342,4.675711885227455,0.3
