seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
57,Vitoria-Gasteiz,N-BEATS v2,0.014767654689208359,0.020458813609553175,5.102198844212194,4.6
57,Vitoria-Gasteiz,LSTM v2,0.023467794392228264,0.029885445031638435,8.105481167360457,9.7
57,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
57,Vitoria-Gasteiz,Random Forest,0.015451802347487135,0.02166368298305903,5.4102590471387755,0.3
57,Donostia/San Sebastian,N-BEATS v2,0.014330854386075221,0.019273423721120588,3.704847806473525,5.7
57,Donostia/San Sebastian,LSTM v2,0.02007985454327652,0.02741059732404535,5.0278252352543555,7.8
57,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
57,Donostia/San Sebastian,Random Forest,0.012840745167229663,0.01886625668424116,3.2717648063563733,0.3
57,Pamplona/Iruna,N-BEATS v2,0.017136005025992572,0.023098343513501544,4.829537254211556,2.3
57,Pamplona/Iruna,LSTM v2,0.020709010262217907,0.02715650783738653,5.7940297869571955,9.8
57,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
57,Pamplona/Iruna,Random Forest,0.016442678909279317,0.022780449452470396,4.6650418245543745,0.3
