Model,MAE,RMSE,MAPE(%),sMAPE(%)
Random Forest Features,0.00023340184379438985,0.00044337438389928255,0.05508032362403192,0.05506922415455136
Ridge Features,0.0028474493611925864,0.0039441010810614295,0.6983953930830838,0.702172620266534
N-BEATS v2 (covariate-conditioned),0.014345381990646734,0.019478407788919468,3.7211560735740314,3.730326555488884
SARIMAX,0.022631038166671166,0.03068478080977059,6.6063073138283706,6.20837163976631
LSTM v2 (dual-stream),0.023666373546520174,0.03141884181766844,5.933818511744622,6.10041984520322
Seasonal Naive (7d),0.07392490234943495,0.09383879247918044,17.834554294377885,20.469289179973945
Rolling Mean (7d),0.07391727728743666,0.09383929498053044,17.83348024299027,20.468009701643318
Hybrid v2 SeasonalNaive(7d)+ResidualLSTM,0.07714181922343975,0.09862469871451478,18.626382544444805,21.578177241029575
SARIMA,0.08447596840668112,0.10178870154924881,20.83418144994961,24.14260821628934
Naive,0.0911695718834533,0.10902718299055339,22.4007723487913,26.205215420356254
