user,cluster_id,archetype_type,avg_fs,avg_log_kurtosis,avg_extreme_ratio,post_trend_slope
013534f14bc222adf7625b2d118bc05185337f04885e688f9f11d71843042cc0,1,B,0.5018,2.2624,0.0202,1.4e-05
014516e8d5cc934526d553cecdde999b7e8c9c42e48779bece9293d10e8b40e0,1,B,0.9786,3.0842,0.0254,-0.000267
015647991b19619d70279fbc9c5938c2ee653f376687ef34bf05a195b05c21ee,1,B,0.4929,4.0349,0.0268,3.8e-05
0157ccc02bc7d96d5972685c6c1050a65495d813dede780282525e1cd66f1e63,1,B,0.4634,2.8915,0.0239,-0.0
015efff33e90b5ea09c3d83ee38f10fa3422c7f6fc872399f8227895631a2aa4,1,B,0.3057,4.4893,0.0245,1e-06
01624eb4da09be5bc8e171658bb2a269e4f800d956cf4a67fda174e7e664c595,1,B,0.5635,2.2628,0.0195,1.5e-05
017300e2fd83090ac90bcd222edaaa7aa2822b2610166f2132c2ad97b9b92ab1,1,B,0.4939,2.7035,0.0234,1.6e-05
01746e006a98e4645cc5befc286757dbcb33cb64e438f49b1b4a7919c970e3b0,1,B,0.4901,2.2315,0.0231,6.1e-05
018691ce738b789921141c0a480a61dd2d44c1e4585e83a4c092a80a934ebe16,1,B,0.4482,2.4431,0.0217,-1.1e-05
018e50c6e1078b5cc2d18a94e4f540165d9fdd0195a04f8a199f978c4dc0d160,1,B,0.5275,2.4725,0.0224,1.1e-05
018ece787233eff982a4115408054948afd730595016c9d0e3fdc74023cbc84d,0,A,0.9991,4.3253,0.0173,9e-06
018fa8df0d78c310e1b156ebd22d869e72044207230ba2fb02613d5b816a8c24,1,B,0.4604,1.821,0.0118,-2.7e-05
01962f8bcdff51f9b3aaa1fdd48685a3260aca67705740eca093614977455a1d,1,B,0.4847,2.8123,0.0199,-2.8e-05
01a5c1e04b4a52f7e3bd6d8fa8d93ab30e792c522c6ef671199796e508417fc5,1,B,0.5129,3.104,0.0204,-2e-06
01b4e499376cdfff491f7b98fff207e636353c5bec30a2f524d8c50ad87b7ffa,1,B,0.3992,3.602,0.0248,-9e-06
01bf4569d5dbcc13a7995f9d3340576c4db03e101a6550510ecaa0fcb930a55a,1,B,0.3534,3.6216,0.0251,-1e-06
01c14e8c465eb4d4ef92f0b89a6528a223b01fe89f0d970e6385b6e882a12374,2,C,0.4956,3.8441,0.0155,1e-06
01c7287cb243a5b74e8b8e9d3df25ff1946540b31395ee02f7aba6aacee8f188,2,C,0.5211,4.4336,0.0206,-7e-06
01d3e92b5c9e608888d9c0da7fec1947a22b6ad6f5c71d923be32eb7318d9b6c,1,B,0.3535,3.3048,0.0275,-4e-06
01d89747ca395407e9734cfb74db5e3288b833ced9917d3335f80fa28e378510,0,A,0.7706,2.3451,0.0225,7.9e-05
01dc9b9706d71df193e526f77815671a520c8a8569abff96dfacc154b351527e,1,B,0.4667,2.6756,0.0245,2e-06
01de53105bcf600603126eb8fc4bef87498300c18777ca61af3f092c7ad3a2db,1,B,0.5944,3.2525,0.0251,9e-06
01debddb8273a1ceebdd07f0767e1de69d4f7bec9446205854f6e48c30474f18,1,B,0.4781,3.1205,0.0257,-3e-06
01e0c4ab5bbef2ae6348ff26dfd7315fd754d12b383befa9c0f540e010bc4b2f,1,B,0.459,2.3241,0.0192,6e-06
01ea5d52368c69ecb1495effd89e06db5985032b12c956f87d16e6e978f67e95,1,B,0.4495,2.5085,0.0268,2e-06
01ebe130edc1db204478f6b88f689668da4b87c43bab6e83b6cd64356e30113c,1,B,0.4923,2.9791,0.0262,-1e-06
01ec26c166f77c09ab9d7b23d655fe74c06ae27a63a3cf4bb6edb6e7a8e791e6,1,B,0.3655,3.5425,0.0193,-4e-06
01f1ee05a1e74380c66b1405ef8ec1b09a86ab063789def2a4fe9e9e36efbd54,1,B,0.4098,3.5074,0.025,1.1e-05
0200755ec3a557027506d6e486fa3ce2899893f8b108f1b63327cc8d798120a3,1,B,0.3746,2.9648,0.0282,2e-06
021930f2a9e8d06e6081ac5ecab01a54015d40e2cb9573e479d10017b31a7ea3,2,C,0.4264,4.1123,0.0198,1e-06
021c600b238cb596dd9c747c48512a0696ea65451f393b89ae7c0a04f50973db,1,B,0.417,2.5491,0.0234,1.2e-05
021c84916bf54d009f9b6dca50b98088216fbb1de7124621b3efb146e4e27ba7,1,B,0.5659,2.4895,0.0259,-4e-06
0234cf223e4043c4c9bfc2f8c32bb125caf1243f09415374497912f80e4fe126,0,A,0.6914,4.1728,0.0237,0.0
0241f2bc91b42a0b284def6d69bf82d4eb4f11819449ee0004b36864c439b489,1,B,0.454,2.8453,0.0243,-1e-06
02420cc15aebd7c4b8a6a7882037deab6bd43cd988c9b2d2ba0402aa3fb490f2,1,B,0.4146,2.9713,0.0272,-1e-06
025c230f510c629392585ee4af379a415e95ec41db76ac8a137c262a8f10b9a1,0,A,0.7257,3.08,0.0284,1.3e-05
026cc7eedf94bd401f9ece4da6f9c0db64c5310b6037b0b82ae77827d9f0007e,1,B,0.5375,1.9759,0.0139,7e-06
0281f64fe592d72dc88f21a3456c10582fc29ecbc918c642af40e0c11e2710b3,1,B,0.4283,3.028,0.0245,3e-06
0287c8242f5521b3645fab82c60a1b61ccf1fe34bdfe39eb96515ff3ea9b1adf,2,C,0.3594,4.3575,0.018,-3e-06
028ad992d81c9dcaa12351eded42ad2889123d2a0841ae7f7e7392bbd2f0b6c2,1,B,0.4572,2.5913,0.0215,4e-06
028f78115c5fb17c11061c441fda54bc5a637f5b29e32b4b51d78060d0e04b1e,1,B,0.4806,2.8944,0.0234,-6e-06
02929d38217ff71988bfa864ea222c67fddd1ba1b36a042ee10d2868f72160f8,1,B,0.5186,3.1739,0.0186,3.1e-05
029e4945d657a92ef1a68386dbf2bccf0eca732b1504ea78a5387e82ec81c4cc,1,B,0.4013,3.8116,0.0227,2e-06
02a1c8b0d4687f595e98d8cb60b38ee87433fa1e507087ed52ff95c6b5059e16,1,B,0.4039,2.6517,0.0234,-5e-06
02a6eafc515c2fcf659292804061ce6ffb404580e1255dab53bfc48e892d8b7a,1,B,0.339,2.4529,0.0229,8e-06
02aa677df51cd4e2833356482afb74d83cc2114001fd542fcacbbd93d3e9ff14,1,B,0.3308,3.7647,0.0231,-1e-06
02b324c7c198f72870dfa23f74cca9786add289c2e9ecc023cbdac2c31f02dcc,1,B,0.4149,3.1362,0.0235,-2.9e-05
02b618f4a7e09b39deeed802604d82bf520aeed8ba783891555f62cc6dc6466f,2,C,0.3122,4.5589,0.0212,2e-06
02ba2e7a732f417b8aba5a5040aefe9bf8616f69ff155cd6ca049be2cd6cae86,0,A,0.9781,3.7453,0.0271,1.6e-05
02d3f06b65043e927a691c1779c25cb20f309e6da5ba8083da4be456566cec83,1,B,0.4324,2.8476,0.0238,-2e-06
02d48908b5ef3816abc04f7216b8b45fdee583692f418ad06539bbaeb011b8b7,1,B,0.4442,3.9727,0.0219,2e-06
02dab08945a16da46c7b91c3c1ae45d61b007da82f77ee4f35a84233b282bbe2,1,B,0.6184,2.1403,0.0167,-4.2e-05
02dd614c6ef5455beb44a89075ac877521c001cd33e4a8a352a0f2dbe3dab4d5,2,C,0.4125,5.5041,0.0202,2e-06
02eab070c27cd0d8d3ea843f7d5994576c746c621b5cd3ea421d2dba210aacc9,1,B,0.5306,2.5955,0.023,-1.4e-05
02ec02feb77ab6104160bf5e8ecd7e2fa61741bae619f657855a52db0a0458fd,1,B,0.4643,2.467,0.0192,6.2e-05
02f67a0f8efce33c9c50254460a79497b06f1752fb4e86e2631729ba35791eb5,1,B,0.4821,3.103,0.0233,3e-06
02f9da34454f91075410920356d84462bc1b702e2a366a340c2a964f555e6cea,1,B,0.5406,2.2816,0.0233,2e-06
0302c3dc6f93760ed061f1c4f6ae6ef7454991b07201309f59e3439e4a6b78c5,0,A,0.7521,2.1877,0.0206,-6e-06
03105e59e6c287df74f852376041f9ee276e07979bbd87d30ec560b8d786913f,1,B,0.4537,2.6609,0.0236,1e-06
0314826301bd29a3cd293194fac2a792c9fc4791df3384b9e8801218a2db43de,0,A,0.6859,3.4501,0.0241,4e-06
0315d41bea1fb64a95f070626fd5fe2f5cdd0d72902e6be234fdea4f1a90d72f,1,B,0.5963,3.2248,0.0289,1.7e-05
0318f0a0ceec413f663d982a2940028e3d91153a31589d197ecfd65ca4a6a50c,1,B,0.4982,2.9899,0.0266,2e-06
032f2ddef24d25c9cf9827d9f8f58e0652deacc817fce596573453e037a2ea23,1,B,0.5528,2.1279,0.0188,7e-06
0331193f7f81a71aec73052897fefee4223ec738d77e159c19edd8a4fe778115,0,A,0.9904,3.5474,0.0271,-1e-06
0332009b51f58f6ef083dfc008e0479bcc2f73586435611a9d89ba774779f069,1,B,0.5576,3.3344,0.0207,1e-05
0335a380133a40b02827b26b8594964c382689f122b6893a380b97cd42a2c4ce,1,B,0.4297,2.8661,0.0237,3e-06
033a23c8f9c871c1a7e8ffc512a91207051b38dc5b91ab9d284ffdbf9b5687d8,0,A,0.6975,2.9642,0.0235,-0.0
033e5ed147efaccd764c3029f112c71e825478a85de1af4b760db493b9d739a9,1,B,0.4238,2.6148,0.0229,3e-06
0340b6a974d5aad87e9391468072efcbd55eafeba17bfc9868269eeeed64523d,1,B,0.5329,2.1329,0.0199,2e-06
03478db77a6a745dbc68e6816cadb44d9de447e29ba4e6f99b6e5a0f39c94364,1,B,0.502,2.2101,0.0187,-7.4e-05
036509ea9089cf6f621fd09c23b5892cbc287bbf72c76ee15f76efb581270709,1,B,0.458,2.4388,0.0228,5e-06
037319b9c1cd20bdeb59a8ee83e745b9a9a32a36de0ead95e09431f638b957ac,1,B,0.4031,3.1344,0.0241,3e-06
037baf4a7d5e533f83bc0fc56db8c508fb0db3d7a21ec1d8e001fd356c57c5a4,0,A,0.6442,2.988,0.0277,1.2e-05
03803c17e516803d3061d14c0c17b62c824fbf07520caf934ffc8a3611cd3dea,1,B,0.4997,2.417,0.0251,6e-06
038a8376661f35fae2e4c61deffa3bed91bfba9826b506de3ba35cec8b9e8d91,1,B,0.4753,2.6143,0.0215,-2e-06
03991f9149e87f810711596eec292b5660bd286f26418213c9bb7065c600d66f,1,B,0.5543,3.0244,0.0242,-7e-06
03a104a6bc9b3437c966390e500e8347acc364bb137febe1e5a7a31ee889ec53,1,B,0.4041,2.63,0.0218,3e-06
03a12e70909ad4b90dc60f2df1d7dac02e4a8c9de71796a57f383a270c4905ad,0,A,0.9838,3.0548,0.0231,8e-05
03a7c5302a3b2c8fb37f3a79bc0f7c0d2f698f768fe40ce1960dd6854ac2ab9a,1,B,0.4757,2.52,0.0207,2e-06
03a98abc5217cea5a9abc78e8434585a351ba1b609c50850ef37be73c3382b48,1,B,0.4814,3.0476,0.0256,-1.9e-05
03aa37d87e358dca777729ab600d4bb68eed364a1741aa50aefe67e849af8088,1,B,0.4504,3.3496,0.0227,-0.0
03bded0a8e885f9f450c4a72572b3449cd7c117de7442cd6f18a7392678bcd20,1,B,0.5293,2.3186,0.0183,-3e-06
03bea1f8ea1c72780defbf7a710e0be39098e05ec2c5fc783210a5c9101bf14a,1,B,0.4448,3.2345,0.0236,-6e-06
03cbbd04d25d40d884df61559cd8bd619bb980d3cbc026caf37686d836cc22de,1,B,0.4388,2.7064,0.0245,1e-06
03cc974d93bbe71a65ce982a801b8d279b814cb1242d6577c73379396b8dc9c8,1,B,0.5005,3.2425,0.0254,-6e-06
03d3598fc283ac608df19d8d9192e73a6230931223d3ee2d18576c2e170ee334,1,B,0.4061,2.157,0.0171,9e-06
03d5086e4f65986217c56b73af907bc5953e578767b14d1c2938fbb0420edb08,1,B,0.4641,3.1389,0.0248,7.1e-05
03dca7e99c4df0ba59f7666e1aae559dd622bd1fd4cf1332bf23c7c506b913a8,1,B,0.4752,2.5235,0.0185,7e-06
03df4a0d008bd24451bd992fa554fbd84e6fa932d457b66b434f04c1d575281b,1,B,0.4076,3.3318,0.0219,5e-06
03dfe28dca0b95c6b3539b9a02df5c6f613d4912c2ee37ac88f61846821e0f52,1,B,0.5622,2.1953,0.0186,7e-06
03e7a6683b90aad453b88efd4fe9f27f5a819c1a44a9234bc58d70d0b3251996,2,C,0.3218,5.6069,0.0121,-4e-06
03ea044beabc554aee944775354ff4fa316d5d1e36840f8b5de83b5636e0500f,1,B,0.4812,2.7386,0.0234,0.0
03f1ec5e3a537fda6672bdb9ce82512820fcdb6138ebc478bde861fc3b08e04a,1,B,0.3906,3.9581,0.022,-1.2e-05
03f506a1fe4758425844a87ddb1ceea38d73cc6a8c551629dfe3d5237995fb1b,2,C,0.559,5.2249,0.0127,7e-06
03fab665f771b48d6214fdf5179fcbeda06d520d62c3a4d223532f71be6785f7,1,B,0.3809,3.3336,0.0231,-0.0
