user,residual_variance,residual_std,residual_cv,residual_kurtosis,extreme_residual_ratio
0001b3b2f18c01c62ed9b2a87de7b4e33e7836f786f7904471d8866978405c1b,0.016209069007549922,0.1273148420552369,0.7130204750877501,11.968453428500888,0.020285087719298246
0004150214d14a2b2e6f7075531e661cf465b27ec4d0d53573866df2c97b8313,0.09514689520747487,0.3084589035957219,0.16128138608795684,14.932864569258934,0.02266081871345029
000721f0fc6ccf02ae24b67393979513171f2abc119af07a7abed20ca303b665,0.017830114133993765,0.13352945043694955,0.8259201192648825,19.699612359934388,0.026498538011695907
0009b156f2a1213a137c150f4787150384938eac15cc2044a10c797d98667a91,0.03312956032969569,0.18201527499002848,0.5754069587531399,11.93138747985706,0.023391812865497075
000bf84faacf921b55bd4ec4aecda599754e9017e150091d330afc038f0fab11,0.025852240393309807,0.16078631904894708,0.504936236997009,19.802165070568183,0.021107456140350877
000da4922a91b9895f9f871225d8e3b9a1bbd51c3a29100b14864b75f0188534,8.527671004435156e-07,0.0009234538973026837,0.4068304833476468,594.5224722620218,0.011056286549707603
001be27fc1f3e2daa58919a9de02e9e1b4a2ffb0fc8ebe2acb747f52a30acf32,0.04303988752876949,0.20746056861189185,0.5440534454218006,9.124566513181431,0.020833333333333332
0023b15da6626445e077a553801554466ecd28f66c575ae316f910ac15dec227,0.11906384094386106,0.34505628663141474,0.8623709301684341,17.44115230058638,0.033717105263157895
0023b502d95ae54c7c0e5f7a3cef3ad620651efe04e4253bfd3ada4e62161dfe,0.01933551333698098,0.1390521964478842,0.6638238230150253,303.6915485656075,0.007035818713450292
002da62dc54b7a789473182feddfad7c185a94608196e9169bf61a17a90e6915,0.009862853514730782,0.09931190016675133,0.7140807326316455,19.093467044779832,0.02266081871345029
002dee79e61047af5f33e9fc617562a4117e25ca2192ed01c6608f37760c9504,0.026629018491004387,0.16318400194566987,0.7626272170261277,24.996387476877487,0.02585891812865497
00360f8639d63be18f35bf7181f155f69bf176003b5ee3916ea427c508085a35,0.01381572191929532,0.11754029912883207,0.48004788446032565,13.698347025962237,0.024396929824561403
0037de47a2397f66e7a8a4f8c04962390c6b5fbf5dc19dcd1909807d989002dd,0.04142966697061497,0.2035427890410637,0.6752591655357091,27.251331471856815,0.027320906432748537
00489151865c9806ea977413603cc72b8bc27ff57350e878fcbedcb4d69317b1,0.016004635894784,0.1265094300626795,1.4248942948990773,156.00667069395328,0.015259502923976608
004a149b06c038586f30361ac6f16adb2ee32aee5f80784a4bda6a257814a9a4,0.017651002856601313,0.13285707680286102,0.5426396874199511,15.048635076702656,0.023848684210526317
0050b980111bad9422575db977d18199b5426cfa491073e4be3efa1acb1aa136,0.023367447016945764,0.15286414562265987,1.7591432278595054,24.346111320771765,0.026589912280701754
0051177c9c0ec5ba203990395f5e785e9e913321576aed98d30b9ccab17d5823,0.022368461735169428,0.14956089641069095,0.735178509932827,18.92339242586021,0.023757309941520467
0052816ff7fcdf2a35953c34f9f2ea4c127623533e3274ce46bf0a7c3956f1ac,0.004680317474052515,0.06841284582629577,0.999498968706484,15.97677691863676,0.02138157894736842
0054900c9a8b6e82d6c102fe69ce4ec95fd189f23336f2c72fb46e2e3bef283a,0.005134332420202091,0.07165425612063872,0.5064372685058185,12.878934964630323,0.017909356725146198
005932ecd8e0888863372c2ca998801ea6a7f2fef1e9dde0035d5c68c92bc145,0.014125535404190865,0.11885089568106277,0.6539963322290387,12.462808944310401,0.02412280701754386
005b44a54261c2606e2c5c9a1e8ff47c933f023d59cb171c0df08cea878403bf,0.067637218435171,0.2600715640649146,0.9867467687102471,10.076404640057083,0.02147295321637427
005e34f194141e43c7d90738e0d76a38f074f5afb8daf2540023f38851a85ac2,0.01063617873711839,0.10313185122511082,0.6606337822181637,21.588672990019067,0.019554093567251463
0062c8d5ca7dfed574aab968f665978a9cb770a0d8f325cdfc741d3cd6f60cb1,0.02034398860153074,0.1426323546798928,0.8118481722862656,12.690072096384108,0.024396929824561403
00688d15088ce2e0fcb251e2cad627a0b1bd2f2d5c462c9fb28cd22449cbc8db,0.07929816066521805,0.28159929095297465,0.6904798786884192,7.710516876660204,0.01882309941520468
00740539bc141a16321919f2a16b6c364a38047b84bb982cf9165dc604fab931,0.0022220249481407204,0.04713835962505187,0.4502694009059531,16.48200867516645,0.016812865497076022
008189c1cb058a65a847a3e917fb77cff50abc30486b6e330131a09ce1a1a80f,0.0104993005009439,0.10246609439684866,0.5620278796841063,24.869642154207,0.025767543859649123
0087fcf95da46d578c5ac5e129b92b3b699a905d65fa3c1b6ad88e02f4bb7d92,0.032201210194575176,0.17944695649292908,0.7459787897761403,12.363163115922015,0.021747076023391813
008991fb296b8cd6a34324ef4e67b8d5244048a602418cc9c7e7982660d34a11,0.05428150990926282,0.23298392628948209,0.5169349773130953,10.460732529547643,0.019919590643274854
